nome,categoria,cidade,estado,territorio,latitude,longitude,observacao
Jussara Costa,Prática Cultural,Minas Novas,Minas Gerais,Quilombo do Macuco,,,Localização a definir
Macuco Comunidade Quilombola,Prática Comunicacional,Minas Novas,Minas Gerais,Quilombo Macuco,,,Localização a definir
Fala Quilombo,Prática Comunicacional,Minas Novas,Minas Gerais,Alto e o Médio Jequitinhonha,,,Localização a definir
Macucultura,Prática Cultural,Minas Novas,Minas Gerais,Vale do Jequitinhonha,,,Localização a definir
Quilombo Cabeceiras,Prática Comunicacional,Minas Novas,Minas Gerais,Vale do Jequitinhonha,,,Localização a definir
Manzo Ngunzo Kaiango,Prática Comunicacional,Santa Luzia,Minas Gerais,Serra do Curral,,,Localização a definir
Comunidade Quilombola Fazenda Santa Cruz,Prática Comunicacional,Serro,Minas Gerais,Comunidade Quilombola Fazenda Santa Cruz,,,Localização a definir
Carina Veridiano,Prática Comunicacional,Viçosa,Minas Gerais,Comunidade quilombola do Buieié - Viçosa (MG),,,Localização a definir
Quilombo Bom Jardim,Prática Comunicacional,Visconde do Rio Branco,Minas Gerais,Visconde do Rio Branco (MG),,,Localização a definir
Coletivo Mãe Preta,Prática Comunicacional,Abaetetuba,Pará,Território Quilombola de Itacuruçá- PA,,,Localização a definir
